Field_Name,Time_Stamp,CO2_ppm,Nitrate_ppm,pH,Temp_C,Moisture_pct,Microbial_Health_Score
Field-H,2025-11-22 04:27,801,25.4,7.3,22.6,32.6,8.5 (Good)
Field-J,2025-12-08 18:48,884,10.8,6.7,22.6,39.8,7.0 (Good)
Field-E,2025-12-10 10:47,928,6.5,6.8,27.8,34.3,6.7 (Good)
Field-F,2025-12-02 14:33,1117,18.4,5.8,23.9,28.2,8.3 (Good)
Field-E,2025-12-13 20:27,740,4.4,5.5,26.5,47.9,3.7 (Poor)
Field-B,2025-11-28 15:09,900,26.9,5.6,18.8,31.9,8.9 (Excellent)
Field-A,2025-11-23 12:40,1043,11.3,5.7,26.0,47.9,6.3 (Fair)
Field-C,2025-12-14 08:09,704,2.0,6.3,20.0,35.7,3.9 (Poor)
Field-J,2025-11-30 23:59,1006,20.7,7.4,19.4,49.8,8.7 (Excellent)
Field-B,2025-12-13 18:23,1019,3.6,7.7,26.5,44.5,5.0 (Fair)
Field-J,2025-12-14 15:40,655,4.6,7.0,26.9,25.2,4.3 (Poor)
Field-D,2025-12-14 08:36,1005,5.0,5.2,18.5,48.9,5.2 (Fair)
Field-G,2025-12-17 06:13,755,24.2,7.4,19.4,41.9,8.0 (Good)
Field-H,2025-12-16 10:16,544,10.8,7.1,20.5,30.5,5.4 (Fair)
Field-J,2025-12-15 20:42,615,23.6,6.2,26.5,36.3,7.9 (Good)
Field-I,2025-11-30 01:53,919,22.8,7.8,18.2,43.3,8.2 (Good)
Field-I,2025-11-30 13:50,725,5.6,5.8,26.1,31.3,3.4 (Poor)
Field-E,2025-11-26 09:42,937,8.9,5.6,26.5,42.2,5.3 (Fair)
Field-F,2025-11-27 19:59,711,8.0,5.8,18.9,35.8,4.6 (Fair)
Field-C,2025-12-16 12:08,559,25.3,7.5,19.4,27.9,7.2 (Good)
Field-F,2025-12-07 10:27,807,9.7,6.6,21.3,49.8,6.2 (Fair)
Field-J,2025-12-14 01:56,441,10.2,6.1,18.1,49.1,4.2 (Poor)
Field-J,2025-12-03 01:56,408,10.4,5.0,18.1,40.8,3.0 (Very Poor)
Field-A,2025-12-07 00:14,786,12.7,7.4,24.2,44.7,6.0 (Fair)
Field-G,2025-12-17 06:22,769,6.9,7.0,27.2,29.5,5.0 (Fair)
Field-E,2025-12-06 15:33,578,20.3,6.6,21.9,30.5,6.9 (Good)
Field-H,2025-11-20 18:20,1046,17.0,7.6,24.5,40.5,8.1 (Good)
Field-E,2025-12-15 23:56,1133,12.7,4.9,24.3,27.8,7.9 (Good)
Field-E,2025-12-10 07:20,806,10.0,6.3,23.4,37.7,6.7 (Good)
Field-J,2025-11-27 09:53,928,19.7,6.5,27.6,31.3,9.1 (Excellent)
Field-E,2025-12-17 11:01,1126,14.2,6.2,27.9,32.2,8.8 (Excellent)
Field-D,2025-12-05 20:21,888,26.3,6.9,27.0,38.1,9.9 (Excellent)
Field-I,2025-11-29 21:37,406,22.1,6.6,26.5,30.6,6.3 (Fair)
Field-C,2025-11-27 22:28,791,15.7,7.6,27.2,40.3,6.5 (Fair)
Field-F,2025-11-26 19:54,421,24.5,4.8,26.4,31.5,5.6 (Fair)
Field-H,2025-12-12 03:00,1106,17.4,6.3,25.4,42.5,9.0 (Excellent)
Field-H,2025-12-07 22:48,376,19.5,6.1,18.2,26.3,6.4 (Fair)
Field-E,2025-12-01 05:13,553,6.5,5.6,21.5,43.5,3.2 (Poor)
Field-H,2025-12-09 18:54,671,26.1,6.1,25.2,37.1,8.9 (Excellent)
Field-A,2025-12-17 11:09,552,19.3,6.8,25.7,41.8,6.6 (Good)
Field-A,2025-12-18 13:06,1113,18.3,5.7,24.4,26.3,8.7 (Excellent)
Field-B,2025-11-29 01:54,720,17.4,6.5,22.4,28.6,7.2 (Good)
Field-J,2025-12-17 15:09,724,18.0,6.5,26.2,30.2,7.0 (Good)
Field-A,2025-11-21 09:43,649,26.2,5.9,21.2,39.5,8.0 (Good)
Field-C,2025-12-14 11:28,840,18.1,6.1,19.0,28.5,7.7 (Good)
Field-I,2025-12-01 07:12,802,11.0,5.7,20.4,47.7,4.9 (Fair)
Field-F,2025-12-16 10:33,501,18.0,7.1,22.6,33.9,6.4 (Fair)
Field-F,2025-12-03 05:03,817,15.7,5.2,25.8,29.3,6.7 (Good)
Field-A,2025-11-29 06:18,944,14.9,6.8,18.6,34.1,7.7 (Good)
Field-H,2025-11-28 20:19,976,3.7,5.0,26.0,42.4,5.1 (Fair)
Field-F,2025-12-01 03:53,1024,17.1,7.5,24.3,49.3,7.3 (Good)
Field-C,2025-11-30 22:06,352,15.1,6.2,20.1,47.1,4.7 (Fair)
Field-C,2025-12-06 09:06,851,12.3,4.8,23.8,37.6,6.2 (Fair)
Field-H,2025-12-04 22:27,858,14.3,5.8,23.4,40.4,6.0 (Fair)
Field-J,2025-12-02 20:18,831,28.0,7.2,26.0,38.1,9.9 (Excellent)
Field-C,2025-11-28 14:08,547,5.6,5.4,26.8,44.2,2.8 (Very Poor)
Field-C,2025-12-02 23:45,829,20.9,7.3,26.0,44.8,7.6 (Good)
Field-J,2025-12-06 19:51,1059,7.3,7.7,20.7,40.1,5.4 (Fair)
Field-F,2025-12-14 20:28,983,3.2,6.5,23.1,27.7,5.8 (Fair)
Field-B,2025-12-15 13:04,851,11.2,4.9,25.2,38.6,5.9 (Fair)
Field-I,2025-12-01 12:39,1081,22.3,5.3,25.4,32.1,9.3 (Excellent)
Field-E,2025-11-28 09:40,670,28.0,6.1,25.6,39.2,9.0 (Excellent)
Field-I,2025-12-16 03:48,1115,22.3,5.8,19.3,40.9,9.4 (Excellent)
Field-H,2025-12-04 03:20,717,12.6,7.8,23.6,46.4,5.4 (Fair)
Field-J,2025-11-22 20:13,466,23.2,6.5,20.6,37.3,7.6 (Good)
Field-G,2025-12-02 16:13,677,15.7,4.9,23.2,30.8,5.3 (Fair)
Field-D,2025-12-17 23:45,360,9.4,6.5,26.7,42.2,3.9 (Poor)
Field-G,2025-12-14 08:46,382,5.3,6.3,19.4,27.1,3.3 (Poor)
Field-J,2025-12-19 13:34,1010,22.7,6.5,18.8,44.4,9.7 (Excellent)
Field-J,2025-11-28 17:45,814,26.0,5.7,21.8,47.6,8.6 (Excellent)
Field-J,2025-12-14 15:17,810,22.1,5.8,27.9,26.3,7.1 (Good)
Field-I,2025-12-19 18:19,583,23.5,7.1,20.3,51.8,8.3 (Good)
Field-I,2025-12-03 21:53,970,26.7,7.8,25.8,43.0,9.5 (Excellent)
Field-H,2025-11-21 00:37,717,22.2,7.5,20.1,25.2,7.3 (Good)
Field-H,2025-11-27 20:38,351,16.5,6.8,20.5,37.9,5.0 (Fair)
Field-E,2025-11-21 19:24,480,13.7,6.4,18.4,44.1,5.2 (Fair)
Field-B,2025-12-11 02:51,700,16.9,7.8,18.5,30.8,6.2 (Fair)
Field-D,2025-12-14 07:07,614,14.7,6.7,23.9,31.7,6.7 (Good)
Field-A,2025-12-07 14:26,842,3.4,7.6,21.4,51.4,4.2 (Poor)
Field-J,2025-12-03 12:42,817,17.0,5.1,22.8,34.2,6.2 (Fair)
Field-A,2025-11-29 23:54,564,26.4,5.2,22.3,34.0,7.6 (Good)
Field-J,2025-11-27 04:37,837,18.0,6.9,26.5,29.9,8.1 (Good)
Field-B,2025-11-27 20:55,976,9.0,6.8,24.0,47.5,7.2 (Good)
Field-J,2025-12-20 03:49,495,4.9,7.5,25.4,33.5,2.6 (Very Poor)
Field-E,2025-12-18 22:14,846,5.5,6.4,25.8,41.5,5.2 (Fair)
Field-G,2025-12-08 20:15,673,11.2,6.5,27.6,51.1,6.1 (Fair)
Field-F,2025-12-18 17:23,350,13.6,6.7,24.0,30.7,5.0 (Fair)
Field-E,2025-12-08 12:09,1107,20.3,5.0,22.0,42.4,9.1 (Excellent)
Field-E,2025-11-28 18:49,1004,11.6,5.0,18.5,44.9,6.2 (Fair)
Field-G,2025-12-02 02:01,1130,25.9,7.5,18.4,44.0,9.9 (Excellent)
Field-A,2025-11-28 06:52,881,8.9,5.3,27.2,31.6,5.2 (Fair)
Field-B,2025-11-28 23:40,596,13.0,6.8,24.3,30.9,6.0 (Fair)
Field-B,2025-11-21 21:39,777,2.8,7.5,21.5,37.7,3.2 (Poor)
Field-B,2025-12-17 22:00,742,6.9,6.3,24.3,51.1,5.0 (Fair)
Field-C,2025-11-22 04:43,963,5.9,5.7,25.8,37.8,5.3 (Fair)
Field-I,2025-11-30 21:32,1111,15.4,6.4,21.2,29.5,9.5 (Excellent)
Field-F,2025-12-05 10:27,732,21.4,6.1,21.6,45.3,8.7 (Excellent)
Field-A,2025-12-09 09:42,712,19.1,5.3,18.5,49.1,6.6 (Good)
Field-H,2025-11-28 14:49,1130,11.0,5.9,27.0,38.1,6.6 (Good)
Field-A,2025-12-06 05:28,772,21.8,7.6,21.0,25.3,7.7 (Good)
Field-A,2025-12-12 14:44,520,8.6,5.1,20.4,35.4,2.9 (Very Poor)
Field-B,2025-11-28 00:18,750,14.8,5.0,20.8,49.3,6.1 (Fair)
Field-A,2025-12-04 05:29,932,22.4,6.8,21.0,47.5,9.1 (Excellent)
Field-A,2025-12-11 20:22,731,3.8,6.6,22.0,45.8,4.7 (Fair)
Field-H,2025-12-01 15:12,624,25.2,5.4,27.1,44.5,7.4 (Good)
Field-F,2025-12-03 22:53,1017,3.7,5.1,22.5,48.0,4.9 (Fair)
Field-E,2025-12-11 08:19,571,9.3,7.1,25.2,37.1,4.8 (Fair)
Field-E,2025-11-24 09:50,1073,21.0,7.4,24.3,33.1,9.0 (Excellent)
Field-H,2025-12-15 04:09,634,8.8,6.2,24.0,47.3,5.3 (Fair)
Field-H,2025-11-21 11:25,1026,6.5,6.8,20.8,49.9,6.4 (Fair)
Field-C,2025-12-08 19:44,959,12.6,5.8,23.7,31.3,6.0 (Fair)
Field-H,2025-12-01 23:00,865,20.3,6.3,20.8,42.4,8.5 (Good)
Field-H,2025-12-07 13:12,565,19.0,5.9,22.7,26.4,5.6 (Fair)
Field-H,2025-12-12 11:07,474,14.1,6.4,20.3,25.3,5.0 (Fair)
Field-H,2025-12-09 11:13,706,20.9,5.5,26.2,38.8,7.1 (Good)
Field-H,2025-11-22 19:28,435,17.6,7.8,22.2,45.8,4.5 (Poor)
Field-J,2025-12-02 01:15,802,2.0,6.3,20.2,34.1,4.2 (Poor)
Field-A,2025-11-21 21:33,985,21.7,7.4,22.1,48.5,8.4 (Good)
Field-C,2025-11-28 23:27,456,9.9,5.8,23.8,50.7,3.7 (Poor)
Field-F,2025-12-06 20:11,744,19.8,5.5,23.5,31.5,6.9 (Good)
Field-D,2025-12-18 05:22,749,6.6,6.7,25.5,47.7,5.3 (Fair)
Field-D,2025-12-17 23:17,688,27.1,7.3,18.4,37.2,7.8 (Good)
Field-F,2025-12-06 16:11,859,13.1,6.8,25.8,51.9,7.1 (Good)
Field-F,2025-12-18 07:33,418,15.8,6.8,26.1,49.4,5.7 (Fair)
Field-A,2025-12-11 09:49,360,3.8,6.7,25.9,47.6,2.9 (Very Poor)
Field-J,2025-12-13 15:45,907,27.9,5.4,21.1,51.8,8.7 (Excellent)
Field-D,2025-12-11 20:12,570,26.5,4.9,20.0,47.9,7.5 (Good)
Field-B,2025-12-10 08:51,918,13.7,7.6,25.0,28.6,6.2 (Fair)
Field-J,2025-12-08 05:58,858,5.3,7.4,28.0,28.7,4.1 (Poor)
Field-D,2025-12-06 14:54,1064,7.1,6.5,18.9,25.0,6.6 (Good)
Field-D,2025-12-08 14:36,1000,13.2,5.6,21.4,26.8,6.8 (Good)
Field-G,2025-11-21 16:22,680,5.5,6.7,18.7,35.9,5.0 (Fair)
Field-E,2025-12-11 00:09,798,25.2,6.2,18.5,45.4,9.2 (Excellent)
Field-H,2025-12-18 13:25,642,27.5,6.2,24.3,33.2,8.8 (Excellent)
Field-F,2025-11-27 22:48,641,3.0,7.0,26.8,47.6,3.7 (Poor)
Field-A,2025-11-30 14:37,532,26.3,5.3,18.2,27.8,7.0 (Good)
Field-I,2025-12-10 19:29,821,13.6,4.9,28.0,49.3,5.4 (Fair)
Field-H,2025-12-04 06:37,1109,17.6,7.7,21.3,51.2,7.9 (Good)
Field-C,2025-12-10 08:48,1040,20.7,6.3,21.5,36.5,9.3 (Excellent)
Field-D,2025-12-19 06:36,1067,2.7,6.3,20.7,42.8,6.7 (Good)
Field-B,2025-12-14 15:21,976,5.6,6.4,21.0,37.1,6.7 (Good)
Field-E,2025-11-21 12:50,1010,18.2,7.6,22.1,47.9,7.4 (Good)
Field-F,2025-11-27 08:40,372,9.7,5.1,27.6,49.2,3.0 (Very Poor)
Field-E,2025-12-13 13:17,742,18.4,6.1,26.0,30.1,7.5 (Good)
Field-G,2025-11-26 21:13,616,7.5,7.4,21.5,42.2,3.3 (Poor)
Field-J,2025-11-20 23:46,622,14.2,7.1,25.0,34.8,5.7 (Fair)
Field-B,2025-11-25 15:14,841,12.0,5.6,18.5,37.8,5.9 (Fair)
Field-J,2025-11-21 16:58,554,20.2,7.2,27.1,47.8,7.1 (Good)
Field-I,2025-11-27 23:51,816,27.6,5.9,19.9,46.4,8.5 (Good)
Field-H,2025-12-13 02:56,677,23.9,6.5,19.9,32.1,8.5 (Good)
Field-I,2025-11-26 08:11,483,7.2,6.1,21.5,34.7,3.6 (Poor)
Field-G,2025-12-11 07:55,405,16.8,4.9,24.5,26.5,3.9 (Poor)
Field-I,2025-11-29 13:03,999,11.7,7.4,24.5,32.9,6.6 (Good)
Field-F,2025-12-09 07:34,630,7.8,5.7,20.1,51.6,3.4 (Poor)
Field-H,2025-12-02 15:06,351,10.5,5.9,21.3,35.2,3.0 (Very Poor)
Field-F,2025-12-04 00:40,874,18.8,5.4,26.6,46.9,7.0 (Good)
Field-J,2025-12-19 11:27,960,9.9,5.1,27.8,42.2,5.5 (Fair)
Field-F,2025-11-29 05:30,579,14.1,5.1,19.9,25.9,4.4 (Poor)
Field-F,2025-12-05 23:45,632,7.2,5.8,26.4,34.3,3.6 (Poor)
Field-H,2025-12-11 19:06,408,18.8,4.8,20.9,31.1,5.0 (Fair)
Field-D,2025-11-22 15:48,432,15.3,6.3,24.0,31.7,5.1 (Fair)
Field-I,2025-12-09 18:56,779,11.9,7.4,27.1,44.5,5.4 (Fair)
Field-F,2025-11-28 00:58,894,11.1,7.7,20.8,44.7,5.5 (Fair)
Field-H,2025-12-18 18:39,736,24.4,5.4,25.8,37.0,7.6 (Good)
Field-A,2025-12-04 11:33,1014,2.4,6.1,23.5,26.7,6.1 (Fair)
Field-F,2025-12-07 02:23,996,27.4,6.8,19.4,45.3,9.9 (Excellent)
Field-A,2025-12-10 03:18,893,11.2,5.8,18.3,33.8,6.1 (Fair)
Field-E,2025-12-11 04:05,416,9.2,7.6,25.4,29.5,3.0 (Very Poor)
Field-A,2025-11-23 02:55,649,2.7,7.6,21.8,48.4,2.8 (Very Poor)
Field-C,2025-12-04 05:17,639,10.5,7.1,26.9,50.0,5.7 (Fair)
Field-I,2025-11-21 19:55,785,11.0,5.1,18.3,29.2,5.0 (Fair)
Field-H,2025-12-09 17:17,820,18.1,5.5,20.6,30.0,6.5 (Fair)
Field-E,2025-12-02 18:31,789,22.5,6.7,25.3,44.5,9.1 (Excellent)
Field-D,2025-12-19 06:51,487,2.4,7.6,20.1,32.5,2.3 (Very Poor)
Field-D,2025-12-14 19:05,587,11.7,7.2,22.5,49.4,5.9 (Fair)
Field-J,2025-12-02 06:03,435,15.6,5.0,24.3,41.1,4.0 (Poor)
Field-H,2025-12-02 17:37,902,16.3,5.8,20.5,27.0,6.8 (Good)
Field-J,2025-12-04 22:04,771,21.4,6.2,21.2,38.0,8.4 (Good)
Field-H,2025-12-11 16:37,536,19.6,6.8,23.3,37.0,6.9 (Good)
Field-G,2025-12-13 09:31,991,8.4,5.1,20.8,32.5,5.6 (Fair)
Field-F,2025-11-26 08:21,1042,5.9,6.3,22.7,37.5,7.1 (Good)
Field-F,2025-12-10 15:59,1048,3.9,5.4,22.0,32.4,4.9 (Fair)
Field-E,2025-11-30 23:05,560,17.6,7.2,26.8,32.2,6.2 (Fair)
Field-F,2025-11-20 10:53,778,15.2,6.0,26.1,28.2,6.9 (Good)
Field-C,2025-12-18 19:44,863,26.2,5.4,20.9,28.0,8.7 (Excellent)
Field-B,2025-11-20 22:58,731,16.6,5.8,19.1,40.2,6.3 (Fair)
Field-D,2025-11-25 20:42,954,15.8,6.3,22.4,48.0,7.8 (Good)
Field-I,2025-12-02 17:59,792,19.6,7.1,23.4,40.9,8.2 (Good)
Field-E,2025-12-05 05:18,497,24.7,7.3,22.8,27.4,6.1 (Fair)
Field-I,2025-12-05 18:59,735,10.7,7.8,25.3,40.7,4.6 (Fair)
Field-B,2025-12-01 09:07,440,14.3,7.7,25.2,29.5,4.0 (Poor)
Field-H,2025-11-20 18:27,1124,2.2,6.8,19.1,43.8,6.0 (Fair)
Field-E,2025-12-12 07:12,511,10.1,6.3,23.6,40.5,5.1 (Fair)
Field-B,2025-11-22 22:59,754,14.8,7.7,27.9,42.1,5.7 (Fair)
Field-F,2025-12-16 12:45,881,6.4,6.9,24.2,50.6,6.1 (Fair)
Field-F,2025-11-22 05:27,938,18.9,5.7,18.4,32.0,7.1 (Good)
Field-B,2025-11-27 08:14,947,3.2,7.3,19.4,29.9,4.7 (Fair)
Field-C,2025-11-30 12:20,977,26.2,5.9,18.1,31.7,9.7 (Excellent)
Field-E,2025-12-08 10:36,961,2.6,5.2,24.3,26.8,4.2 (Poor)
Field-D,2025-11-21 07:04,1054,10.8,7.4,26.1,35.8,6.1 (Fair)
Field-C,2025-12-08 04:40,845,13.9,6.3,28.0,47.5,7.7 (Good)
Field-G,2025-12-03 08:52,449,16.8,6.0,23.0,50.2,6.2 (Fair)
Field-E,2025-11-25 09:08,877,26.4,6.7,25.7,26.3,9.6 (Excellent)
Field-F,2025-12-10 15:15,1043,23.3,4.8,26.6,27.9,8.6 (Excellent)
Field-B,2025-12-07 19:31,640,15.7,7.6,24.7,50.3,5.6 (Fair)
Field-G,2025-12-07 11:33,551,4.0,5.9,23.5,49.0,2.1 (Very Poor)
Field-G,2025-11-29 03:02,669,4.1,5.3,23.7,36.3,3.2 (Poor)
Field-G,2025-11-25 07:38,1141,23.5,4.8,26.7,39.7,9.4 (Excellent)
Field-C,2025-11-21 09:18,619,24.3,5.5,22.2,33.9,7.1 (Good)
Field-B,2025-12-13 13:30,582,10.2,5.3,19.6,37.8,3.7 (Poor)
Field-E,2025-12-04 19:35,886,2.5,6.5,19.4,37.0,5.2 (Fair)
Field-C,2025-12-01 03:45,772,2.8,5.6,26.5,38.2,3.2 (Poor)
Field-H,2025-11-22 09:13,749,16.8,7.7,20.2,42.0,6.1 (Fair)
Field-H,2025-12-18 09:38,364,15.7,4.9,21.9,28.0,3.8 (Poor)
Field-C,2025-12-14 06:22,658,21.1,4.8,19.8,25.3,7.0 (Good)
Field-F,2025-11-30 06:34,766,23.0,6.4,23.9,28.3,9.2 (Excellent)
Field-J,2025-12-01 21:43,682,12.8,7.8,18.6,47.2,4.6 (Fair)
Field-H,2025-12-15 03:47,663,16.1,7.2,19.7,28.4,6.3 (Fair)
Field-E,2025-12-17 03:16,354,4.6,7.2,18.7,31.0,3.3 (Poor)
Field-I,2025-12-13 14:22,1133,10.7,7.7,24.7,39.0,7.3 (Good)
Field-D,2025-11-25 09:39,1116,23.1,5.7,20.1,39.3,9.6 (Excellent)
Field-J,2025-12-01 20:11,406,24.9,7.3,23.5,48.7,6.1 (Fair)
Field-F,2025-11-22 07:07,350,14.0,5.0,21.6,32.4,3.7 (Poor)
Field-D,2025-12-07 06:28,968,10.7,4.8,26.5,50.8,5.9 (Fair)
Field-J,2025-12-02 05:51,617,7.3,7.3,19.4,26.3,3.8 (Poor)
Field-C,2025-12-02 18:28,819,3.6,6.8,22.6,33.8,5.4 (Fair)
Field-H,2025-12-03 00:34,552,10.7,6.0,24.3,28.5,4.9 (Fair)
Field-E,2025-11-24 03:14,611,7.5,7.5,25.8,33.5,3.1 (Poor)
Field-H,2025-12-15 10:21,486,6.5,6.6,24.7,27.2,4.0 (Poor)
Field-E,2025-12-10 18:10,857,19.5,7.8,23.2,29.6,7.4 (Good)
Field-B,2025-12-06 08:34,810,8.7,7.0,19.1,32.6,6.3 (Fair)
Field-C,2025-12-12 14:14,1102,19.9,7.6,27.0,50.8,8.9 (Excellent)
Field-I,2025-12-08 10:03,873,21.5,5.6,25.0,45.8,8.1 (Good)
Field-C,2025-12-05 06:30,373,27.4,5.7,27.8,40.6,6.2 (Fair)
Field-C,2025-12-04 17:33,373,10.7,7.2,26.5,31.2,4.0 (Poor)
Field-H,2025-12-18 09:40,727,15.8,7.1,26.4,43.5,7.2 (Good)
Field-G,2025-12-15 15:56,374,14.9,7.0,21.5,52.0,4.6 (Fair)
Field-E,2025-12-03 05:22,886,11.7,6.1,27.2,27.9,6.6 (Good)
Field-D,2025-12-09 09:52,1130,23.7,5.7,26.0,43.5,9.2 (Excellent)
Field-B,2025-11-23 14:53,805,6.8,7.5,24.3,41.7,4.0 (Poor)
Field-E,2025-12-08 20:50,624,15.6,5.0,25.7,51.2,5.5 (Fair)
Field-I,2025-12-03 00:39,993,11.6,5.8,26.2,50.5,6.4 (Fair)
Field-D,2025-11-24 10:16,947,6.4,6.1,21.1,36.6,6.6 (Good)
Field-B,2025-12-13 06:03,769,6.2,6.3,26.6,27.2,5.2 (Fair)
Field-J,2025-11-22 06:07,919,11.5,6.0,19.9,25.6,7.5 (Good)
Field-F,2025-12-10 18:45,395,26.7,6.0,24.8,30.5,7.4 (Good)
Field-D,2025-12-16 14:37,902,5.2,6.6,25.1,38.3,5.6 (Fair)
Field-E,2025-12-01 11:55,917,5.0,5.3,25.6,32.3,4.9 (Fair)
Field-E,2025-12-06 04:51,1037,9.5,6.5,20.9,51.0,7.5 (Good)
Field-G,2025-12-04 03:57,575,12.9,7.2,24.8,41.7,5.3 (Fair)
Field-I,2025-12-10 00:03,1001,24.9,5.3,23.7,28.7,8.9 (Excellent)
Field-B,2025-12-07 08:10,1119,24.9,7.2,25.8,50.7,9.9 (Excellent)
Field-J,2025-12-10 06:50,1080,21.5,5.4,23.2,46.7,9.4 (Excellent)
Field-B,2025-12-03 11:38,500,14.7,6.3,21.4,29.3,5.9 (Fair)
Field-E,2025-12-08 18:31,553,24.5,5.8,18.5,42.4,6.9 (Good)
Field-D,2025-11-30 03:40,714,21.3,6.9,25.8,44.2,8.1 (Good)
Field-H,2025-12-08 07:49,397,21.3,5.9,23.4,44.0,5.5 (Fair)
Field-F,2025-12-16 23:21,1058,21.2,6.1,23.0,43.6,9.6 (Excellent)
Field-G,2025-12-16 22:16,930,15.4,7.6,23.6,38.8,6.4 (Fair)
Field-F,2025-12-03 11:03,785,10.0,5.9,19.5,27.4,5.3 (Fair)
Field-C,2025-12-19 08:58,905,4.1,7.4,24.2,27.9,4.6 (Fair)
Field-I,2025-12-10 07:36,1144,9.2,5.1,19.6,47.4,6.7 (Good)
Field-J,2025-11-24 17:08,837,19.8,7.1,26.4,38.4,8.1 (Good)
Field-F,2025-12-13 11:44,796,17.0,7.5,27.2,48.6,6.6 (Good)
Field-I,2025-12-19 11:30,902,16.0,7.8,25.4,27.4,6.8 (Good)
Field-D,2025-12-04 00:00,897,7.9,5.7,21.6,45.9,4.9 (Fair)
Field-B,2025-12-08 11:19,594,3.6,5.5,19.1,42.0,2.7 (Very Poor)
Field-B,2025-12-04 15:59,985,27.8,5.0,21.4,50.8,9.8 (Excellent)
Field-E,2025-12-12 06:00,988,7.1,5.9,22.8,35.8,5.1 (Fair)
Field-G,2025-12-03 20:54,392,4.6,7.6,23.9,44.9,1.4 (Very Poor)
Field-F,2025-11-27 08:16,862,4.4,6.7,25.6,51.6,5.1 (Fair)
Field-D,2025-12-04 20:26,869,5.6,5.9,20.1,39.6,4.7 (Fair)
Field-C,2025-12-11 07:12,750,25.6,6.6,23.8,50.1,9.5 (Excellent)
Field-I,2025-12-12 23:25,623,17.4,6.6,21.4,29.9,7.0 (Good)
Field-B,2025-11-22 15:58,876,26.3,5.9,24.8,29.7,8.7 (Excellent)
Field-D,2025-11-24 23:50,1044,25.4,5.0,25.6,46.4,9.6 (Excellent)
Field-H,2025-11-29 07:19,441,19.7,6.7,18.5,35.3,6.8 (Good)
Field-G,2025-12-02 04:16,459,17.3,7.3,25.6,42.6,4.3 (Poor)
Field-C,2025-11-23 03:58,814,10.5,5.2,25.8,29.2,5.4 (Fair)
Field-J,2025-12-18 05:14,528,8.8,6.9,20.8,25.1,5.0 (Fair)
Field-C,2025-12-20 02:52,1054,14.1,5.8,18.3,33.3,7.2 (Good)
Field-F,2025-12-04 06:08,491,14.0,6.3,23.4,36.9,5.9 (Fair)
Field-G,2025-11-23 06:23,375,25.1,7.1,19.3,28.6,7.2 (Good)
Field-A,2025-12-16 01:09,656,27.6,5.4,25.0,40.3,8.0 (Good)
Field-B,2025-12-01 17:33,1102,4.3,5.2,27.8,26.3,5.9 (Fair)
Field-J,2025-11-21 15:05,761,8.8,5.6,23.4,51.8,4.7 (Fair)
Field-C,2025-11-22 00:28,542,13.6,6.3,18.8,43.2,5.6 (Fair)
Field-E,2025-11-26 00:11,1024,26.4,6.4,22.5,41.6,9.9 (Excellent)
Field-E,2025-12-17 19:42,949,2.3,5.9,22.3,32.9,4.7 (Fair)
Field-G,2025-11-30 15:33,419,17.0,6.2,26.6,47.0,5.2 (Fair)
Field-D,2025-11-23 12:15,383,27.7,5.3,26.6,38.9,6.0 (Fair)
Field-F,2025-12-17 12:34,492,20.7,5.9,22.4,43.6,6.0 (Fair)
Field-F,2025-12-09 22:05,1101,9.6,5.8,20.0,28.2,6.3 (Fair)
Field-E,2025-12-08 19:46,993,9.2,5.1,26.7,38.7,6.1 (Fair)
Field-F,2025-12-13 20:46,788,20.7,6.5,21.0,27.0,8.6 (Excellent)
Field-I,2025-12-08 18:17,630,13.0,4.9,24.3,33.7,5.0 (Fair)
Field-B,2025-11-28 06:09,453,15.1,5.6,18.2,51.7,4.1 (Poor)
Field-A,2025-11-20 10:07,592,17.7,5.6,19.7,26.7,5.1 (Fair)
Field-C,2025-11-22 08:56,673,16.8,7.5,19.2,38.7,5.7 (Fair)
Field-D,2025-11-30 02:48,663,21.2,5.3,19.3,41.0,6.7 (Good)
Field-F,2025-11-28 12:15,660,22.6,5.9,26.8,39.3,6.4 (Fair)
Field-J,2025-11-23 05:10,949,13.2,6.7,24.1,30.1,7.7 (Good)
Field-G,2025-11-24 13:22,954,13.2,6.6,27.6,51.5,7.3 (Good)
Field-I,2025-12-05 04:18,573,7.2,5.1,21.2,29.6,3.4 (Poor)
Field-E,2025-11-21 11:47,618,8.2,7.8,19.4,50.1,4.0 (Poor)
Field-I,2025-12-19 01:14,710,5.5,6.6,22.0,48.1,4.6 (Fair)
Field-E,2025-11-22 04:51,745,16.8,6.0,20.2,31.0,7.4 (Good)
Field-D,2025-11-24 16:05,811,12.1,6.4,26.9,38.2,6.5 (Fair)
Field-A,2025-12-02 04:40,790,4.5,7.6,20.2,51.4,4.3 (Poor)
Field-C,2025-11-29 15:45,512,27.2,6.6,23.5,41.9,8.3 (Good)
Field-C,2025-11-20 22:38,593,3.0,7.7,24.4,25.0,3.0 (Very Poor)
Field-F,2025-12-15 18:19,1025,26.7,5.5,20.4,27.2,9.6 (Excellent)
Field-D,2025-11-22 06:45,843,17.9,5.3,21.3,37.6,6.5 (Fair)
Field-B,2025-12-17 04:08,1019,18.5,5.3,20.3,51.0,7.9 (Good)
Field-B,2025-12-15 04:30,1088,3.0,5.5,24.8,50.6,4.8 (Fair)
